Fruit,Quantity_kg,Price_per_kg_in_USD,Farmer_Name,Customer_Name
Pear,110,1.86,John Smith,Patricia Deleo
Apple,68,2.35,John Smith,Tina Hubbard
Orange,127,2.27,John Smith,Jamie Ketchum
Banana,76,1.55,John Smith,Laurie Wakefield
Grape,80,2.6,John Smith,Michele Cook
Pear,112,1.67,John Smith,Edna Hanson
Apple,88,1.95,John Smith,Alexander Rice
Orange,108,,John Smith,Paul Walker
Banana,58,,John Smith,Ralph Lafountain
Grape,97,1.72,John Smith,Dan Williams
Pear,135,1.58,John Smith,Greg Jones
Apple,,,John Smith,Charles Kelley
Orange,95,1.41,John Smith,Sudie Lovett
Banana,68,1.29,John Smith,Anita Woodside
Grape,118,2.49,John Smith,Roy Griffin
Pear,141,2.71,John Smith,Christina Bonds
Apple,135,1.18,John Smith,Lindsey Mark
Orange,103,1.98,John Smith,Christine Swanson
Banana,108,1.74,John Smith,Raymond Jackson
Grape,137,2.45,John Smith,Jeffrey Williams
Pear,101,1.67,John Smith,Eddie Balzer
Apple,102,1.3,John Smith,Kim Jackson
Orange,103,2.42,John Smith,Jacqueline Valenzula
Banana,60,2.02,John Smith,Harry Massie
Grape,,,John Smith,Clarence Mcdiarmid
Pear,,1.31,John Smith,Barbara Carson
Apple,92,1.82,John Smith,Kelly Tauscher
Orange,110,2.28,John Smith,Steve Nevarez
Banana,134,1.65,John Smith,Maria Bryant
Grape,75,1.07,John Smith,Charles Smith
Pear,,3,John Smith,Tyler Pucci
Apple,102,2.98,John Smith,Cathy Soto
Orange,128,2.72,John Smith,Carla Odom
Banana,97,2.01,John Smith,Ricardo Olson
Grape,91,1.09,John Smith,Stephanie Cummings
Pear,,2.32,John Smith,Joanne Yarber
Apple,95,2.22,John Smith,Jeffery Marcus
Orange,126,2.85,John Smith,Raymond Phillips
Banana,83,1.98,John Smith,Thomas Ortiz
Grape,79,1.44,John Smith,Dawn Gatlin
Pear,104,1.81,John Smith,Jerry Cruz
Apple,,2.93,John Smith,Judith Nichols
Orange,,,John Smith,Jason Wojcik
Banana,91,1.7,John Smith,Robert Baham
Grape,94,2.77,John Smith,Marlene Varner
Pear,54,2.88,John Smith,Sandra Morford
Apple,89,2.1,John Smith,James Taylor
Orange,,1.54,John Smith,Kevin Carlson
Banana,62,1.18,John Smith,Adrienne Brown
Grape,98,2.61,John Smith,Floyd Shiigi
Pear,,2.41,John Smith,Marvin Matthews
Apple,52,2.39,John Smith,Brian Patton
Orange,,1.46,John Smith,Joseph Shelton
Banana,63,2.35,John Smith,Edith Moore
Grape,100,2.04,John Smith,Yvonne Guay
Pear,,2.43,John Smith,Brian Landau
Apple,143,2.92,John Smith,Jennifer Leech
Orange,103,1.76,John Smith,Rosella Keown
Banana,71,1.41,John Smith,Clinton Fergus
Grape,115,2.77,John Smith,Elsie Goldman
Pear,69,2.62,John Smith,Olga Ford
Apple,53,1.84,John Smith,Steven Strobel
Orange,87,1.84,John Smith,Ursula Preston
Banana,138,,John Smith,Donald Tillery
Grape,70,1.71,John Smith,Edna Plott
Pear,72,2.67,John Smith,Rose Burgos
Apple,81,1.74,John Smith,Louella Pegram
Orange,91,2.15,John Smith,Charles Lamb
Banana,74,2.96,John Smith,Gary Mahoney
Grape,92,1.27,John Smith,Bonnie Cruz
Pear,,2.48,John Smith,Beverly Heister
Apple,88,2.81,John Smith,Jana Julca
Orange,,2.69,John Smith,Elena Ross
Banana,142,1.09,John Smith,Jean Thomas
Grape,,2.39,John Smith,Nadine Webster
Pear,73,1.92,John Smith,Michael Palmer
Apple,131,1.79,John Smith,Travis Aust
Orange,,2.77,John Smith,Ericka Harrison
Banana,135,1.98,John Smith,Carol Robley
Grape,149,1.07,John Smith,Reina Sutton
Pear,114,2.95,John Smith,Althea Johnson
Apple,118,1.12,John Smith,Marin Horn
Orange,55,,John Smith,Edith Conder
Banana,69,1.62,John Smith,Dorothy Bellas
Grape,120,2.92,John Smith,Ashley Mullenax
Pear,88,1.49,John Smith,Eric Spence
Apple,94,2.68,John Smith,Angela Moore
Orange,89,2.3,John Smith,Sheldon Stokes
Banana,139,1.32,John Smith,Susan Kearns
Grape,143,1.68,John Smith,Mona Benson
Pear,55,1.31,John Smith,Robert Coberly
Apple,127,2.92,John Smith,Christian Watson
Orange,123,1.28,John Smith,Louise Sargent
Banana,92,1.02,John Smith,Malcom Birks
Grape,101,1.51,John Smith,Edward Owens
Pear,,2.97,John Smith,Rosa Stec
Apple,,1.25,John Smith,Suzanne Derosa
Orange,79,2.95,John Smith,Carole Turner
Banana,60,2.56,John Smith,Lance Kelly
Grape,136,2.87,John Smith,August Allen
Pear,86,1.16,John Smith,Stacy Reyes
Apple,148,1.95,John Smith,Richard Estey
Orange,56,1.98,John Smith,Wayne Welch
Banana,124,1.08,John Smith,Petra Davis
Grape,87,,John Smith,Cynthia Itson
Pear,112,2.38,John Smith,June Sproles
Apple,52,2.59,John Smith,William Wilson
Orange,91,2.47,John Smith,Michael Keller
Banana,87,1.38,John Smith,Carroll Barrett
Grape,137,1.24,John Smith,Paul Pierce
Pear,85,1.26,John Smith,Vivian Kalar
Apple,70,,John Smith,Ryan Oestreich
Orange,99,2.54,John Smith,Erik Gunderson
Banana,107,2.89,John Smith,Carolina Stribley
Grape,63,1.87,John Smith,Mary Bard
Pear,130,2.82,John Smith,Willard Chapman
Apple,148,2.87,John Smith,Thomas Oliver
Orange,134,1.22,John Smith,Jennifer Daniel
Banana,69,1.01,John Smith,Maria Tomlin
Grape,77,1.05,John Smith,Rebecca Howard
Pear,97,1.64,John Smith,Pam Crowe
Apple,,2.91,John Smith,Keith Haynes
Orange,83,,John Smith,Betty Davis
Banana,64,2.89,John Smith,Donald Simpson
Grape,,1.05,John Smith,John West
Pear,70,2.06,John Smith,Nathan Summerville
Apple,,1.72,John Smith,James Goodspeed
Orange,57,2.43,John Smith,Juanita Lupien
Banana,108,1.85,John Smith,Joy Duenas
Grape,69,1.68,John Smith,Ryan Garcia
Pear,,1.31,John Smith,Eric Flowers
Apple,108,1.03,John Smith,Stephen Krueger
Orange,97,1.59,John Smith,Valerie Maher
Banana,128,2.97,John Smith,Becky Franks
Grape,75,2.36,John Smith,Brian Thomas
Pear,64,2.94,John Smith,Ann Jackson
Apple,144,1.39,John Smith,Les Juul
Orange,53,1.69,John Smith,Loretta Ormiston
Banana,99,1.37,John Smith,Darin Brighton
Grape,76,2.48,John Smith,Mark Wolff
Pear,67,1.05,John Smith,Willie Binegar
Apple,,2.32,John Smith,James Daniel
Orange,50,,John Smith,Terry Pfeifer
Banana,95,2.47,John Smith,Cheryl Llewellyn
Grape,93,1.11,John Smith,Alan Littleton
Pear,106,1.14,John Smith,Stanley Brown
Apple,54,1.29,John Smith,Christopher Evans
Orange,96,2.92,John Smith,Marta Jacobson
Banana,77,2.92,John Smith,Angela Wachtel
Grape,64,1.12,John Smith,Phillip Michel
Pear,83,2.12,John Smith,Willie Foster
Apple,50,,John Smith,Anna Wilson
Orange,131,1.88,John Smith,George Obrien
Banana,140,1.17,John Smith,Gabrielle Rabe
Grape,108,,John Smith,Joel Williams
Pear,,2.34,John Smith,Isis Frye
Apple,149,1.42,John Smith,Thomas Sherwood
Orange,,2.23,John Smith,Nickolas Wyatt
Banana,68,1.93,John Smith,Wendy Krieg
Grape,71,,John Smith,Daniel Carter
Pear,107,,John Smith,Greg Inyart
Apple,115,2.71,John Smith,Kenneth Maloney
Orange,73,2.68,John Smith,Nick Fontenette
Banana,116,2.04,John Smith,Karin Cooper
Grape,120,2.46,John Smith,Deborah Margolis
Pear,95,1.57,John Smith,Kyle Ostroski
Apple,138,2.89,John Smith,Aaron Champlin
Orange,57,2.36,John Smith,Pedro Matty
Banana,77,2.21,John Smith,Thomas Guerrero
Grape,93,,John Smith,Melba Walker
Pear,148,2.5,John Smith,Felix Weathersby
Apple,60,1.85,John Smith,Jill Stevens
Orange,59,2.5,John Smith,Amber Brady
Banana,77,,John Smith,Thomas Perkins
Grape,128,2.33,John Smith,Marilyn Hill
Pear,81,2.15,John Smith,Juanita Wellenstein
Apple,149,2.42,John Smith,Bessie Tugwell
Orange,133,2.37,John Smith,Richard Pierce
Banana,98,2.26,John Smith,Felicia Welch
Grape,82,1.8,John Smith,Gordon Hill
Pear,121,,John Smith,Steven Bonanno
Apple,147,1.06,John Smith,Tina Brown
Orange,136,1.86,John Smith,Anthony Shelton
Banana,,2.85,John Smith,Keith Turner
Grape,81,2.28,John Smith,Gabriel Young
Pear,134,2.26,John Smith,John Morton
Apple,136,1.25,John Smith,Sarah Keiper
Orange,70,2.03,John Smith,Woodrow Franklin
Banana,,2.31,John Smith,Barbara Levi
Grape,139,2.26,John Smith,Helen Cox
Pear,63,2.18,John Smith,Cassandra Diloreto
Apple,137,1.62,John Smith,Margot Flowers
Orange,130,2.97,John Smith,Zachary Schneider
Banana,147,1.73,John Smith,Pete Allman
Grape,141,2.46,John Smith,Kenneth Solesbee
Pear,74,2.4,John Smith,Gerald Garner
Apple,,2.91,John Smith,Rachael Moore
Orange,92,2.87,John Smith,James Bothwell
Banana,118,1.36,John Smith,Dorothy Hubbs
Grape,85,2.21,John Smith,Cheryl Kennedy
Pear,85,1.52,John Smith,Steven Allen
Apple,64,1.54,John Smith,Joe Franklin
Orange,,1.21,John Smith,Lenora Clem
Banana,74,2.7,John Smith,Angelica Meltzer
Grape,72,1.99,John Smith,Sherrie Dubois
Pear,113,,John Smith,Judy Burgos
Apple,81,1.46,John Smith,Robert Rutherford
Orange,,1.01,John Smith,Juan Lederman
Banana,77,2.33,John Smith,Whitney Watkins
Grape,,2.75,John Smith,Gladys Dalton
Pear,128,1.61,John Smith,Brenda Weaver
Apple,,2.43,John Smith,Harry Pierce
Orange,130,1.24,John Smith,Amy Brown
Banana,70,,John Smith,Harold Hughes
Grape,71,1.89,John Smith,George Muzzey
Pear,149,1.43,John Smith,Yvette Jorgenson
Apple,,1.68,John Smith,Thomas Swaney
Orange,58,1.44,John Smith,Marva Rupp
Banana,131,2.61,John Smith,Johnnie Quintana
Grape,84,2.59,John Smith,Edwina Erickson
Pear,143,2.43,John Smith,John Bass
Apple,50,1.44,John Smith,Ida Aaronson
Orange,78,2.32,John Smith,Antonio Herbst
Banana,107,2.02,John Smith,Andrew Samuel
Grape,121,1.67,John Smith,Justin Flinn
Pear,88,1.89,John Smith,Jose Haug
Apple,148,1.7,John Smith,Marie Brown
Orange,80,2.72,John Smith,Kristen Piccoli
Banana,101,2.58,John Smith,Lionel Mason
Grape,88,2.49,John Smith,Kelley Trujillo
Pear,94,2.43,John Smith,Katherine Kelemen
Apple,59,2.73,John Smith,Joyce Burleson
Orange,112,2.65,John Smith,Heath Page
Banana,113,2.9,John Smith,Theresa Jackson
Grape,,1.65,John Smith,Carrie Boren
Pear,,2.26,John Smith,Ellen Mazza
Apple,100,1.01,John Smith,Bradley Bradford
Orange,53,1.73,John Smith,Wallace Ogle
Banana,50,2.62,John Smith,Keith Ogilvie
Grape,53,1.47,John Smith,Matthew Dominguez
Pear,147,2.34,John Smith,Corey Shows
Apple,101,2.55,John Smith,Libby Coone
Orange,97,2.32,John Smith,Victor Wiford
Banana,96,,John Smith,Amy Perkins
Grape,87,2.54,John Smith,Lonnie Fred
Pear,55,1.65,John Smith,Sylvia Miller
Apple,146,2.67,John Smith,Shirley Cheek
Orange,109,1.24,John Smith,Charles Sturm
Banana,78,,John Smith,Carol Maldonado
Grape,80,1.14,John Smith,Chris Osborne
Pear,,1.99,John Smith,Shirley Siegel
Apple,88,1.3,John Smith,Janet Schaefer
Orange,131,1.13,John Smith,Rachael Rice
Banana,60,1.51,John Smith,Timothy Tanner
Grape,81,1.86,John Smith,Nina Moulding
Pear,76,2.44,John Smith,Jose Shiner
Apple,91,2.66,John Smith,William Kattner
Orange,,1.2,John Smith,Mary Williams
Banana,141,1.88,John Smith,Wanita Madrid
Grape,120,1.21,John Smith,Donna Bakken
Pear,,2.8,John Smith,Josh Lightner
Apple,,1.73,John Smith,Seth Lambert
Orange,130,2.21,John Smith,Helena Ostrzyeki
Banana,65,1.28,John Smith,Ken Hudson
Grape,,2.52,John Smith,Gracie Wilder
Pear,133,1.2,John Smith,Barbara Stuart
Apple,149,1.31,John Smith,Maria Brooks
Orange,108,1.56,John Smith,Nicole Lindsey
Banana,125,2.81,John Smith,Ben Thompson
Grape,133,1.66,John Smith,William Reid
Pear,105,2.44,John Smith,Andy Johnson
Apple,,1.82,John Smith,John Castro
Orange,126,2.16,John Smith,James Hausman
Banana,,1.15,John Smith,John Hudson
Grape,80,1.78,John Smith,Angela Smith
Pear,103,2.8,John Smith,Danielle Boyne
Apple,72,2.03,John Smith,Gregory Williams
Orange,119,1.7,John Smith,Julia Davis
Banana,,,John Smith,Stephanie Becker
Grape,70,1.06,John Smith,Ellen Cox
Pear,88,1.27,John Smith,Steven Lin
Apple,132,1.9,John Smith,Heather Banville
Orange,131,1.74,John Smith,Betty Hahn
Banana,78,1.22,John Smith,Brian Mccarthy
Grape,144,1.85,John Smith,Joseph Nix
Pear,111,1.09,John Smith,John Grant
Apple,80,,John Smith,Robert Torbert
Orange,116,1.56,John Smith,Hester Sussman
Banana,72,2.72,John Smith,James Wakefield
Grape,122,1.98,John Smith,Bobby Rodriguez
Pear,58,1.36,John Smith,Raymond Turner
Apple,141,1.82,John Smith,Derek Washington
Orange,123,2.01,John Smith,Brian Spencer
Banana,,1.6,John Smith,Margaret Robinson
Grape,92,1.38,John Smith,Irene Murphy
Pear,82,1.86,John Smith,Michael Rollins
Apple,105,2.12,John Smith,Edward Lear
Orange,142,2.74,John Smith,Jacque Young
Banana,55,,John Smith,Leah Hopkins
Grape,,1.07,John Smith,Gary Ferguson
Pear,87,1.94,John Smith,Natasha Vanmatre
Apple,143,2.37,John Smith,Shawn Sturgeon
Orange,66,1.83,John Smith,Mary Foley
Banana,132,1.79,John Smith,Melissa Brady
Grape,82,1.55,John Smith,Richard Breaux
Pear,141,2.79,John Smith,Rebecca Gonzales
Apple,140,2.57,John Smith,Marshall Cargle
Orange,117,1.26,John Smith,Barbara Arno
Banana,104,1.35,John Smith,Daniela Anderson
Grape,75,2.6,John Smith,Mark Foster
Pear,145,2.48,John Smith,Ronald Ginn
Apple,102,2.23,John Smith,Dexter Burns
Orange,128,2.18,John Smith,Evelyn Mckay
Banana,62,1.41,John Smith,Athena Haase
Grape,50,2.35,John Smith,Elenor Villanueva
Pear,122,2.15,John Smith,Emelda Carson
Apple,139,1.21,John Smith,Joseph Dee
Orange,,1.12,John Smith,Richard Harris
Banana,67,3,John Smith,James Wood
Grape,127,,John Smith,Susan Mercer
Pear,81,,John Smith,Henry Eason
Apple,135,,John Smith,Patrick Bosworth
Orange,99,2.84,John Smith,Jason Edwards
Banana,69,2.82,John Smith,Carl Wood
Grape,,2.08,John Smith,Kris Adams
Pear,65,2.83,John Smith,Joseph Gray
Apple,68,1.5,John Smith,Shirley Hartel
Orange,89,1.62,John Smith,David Walker
Banana,140,1.95,John Smith,Paul Edwards
Grape,55,1.03,John Smith,Terrence Boyle
Pear,106,2.59,John Smith,Sylvester Lopez
Apple,,1.49,John Smith,Vicky Garland
Orange,94,2.27,John Smith,Nathaniel Kelley
Banana,88,2.76,John Smith,Dorothy Allen
Grape,115,1.73,John Smith,Michele Collins
Pear,,,John Smith,Lenard Hamby
Apple,70,1.53,John Smith,James Martineau
Orange,84,2.12,John Smith,James Stoltzfus
Banana,,2.6,John Smith,Robin Fackrell
Grape,,2.81,John Smith,Miriam Reding
Pear,127,1.83,John Smith,Martha Carson
Apple,50,1.75,John Smith,Douglas Murray
Orange,130,1.07,John Smith,Chad Bender
Banana,144,1.83,John Smith,Cynthia Albert
Grape,61,2.12,John Smith,Linda Hackett
Pear,135,2.87,John Smith,Patricia Wise
Apple,,2.22,John Smith,German Willis
Orange,144,2.91,John Smith,Denae Oshea
Banana,,2.22,John Smith,Donald Williams
Grape,,,John Smith,Jessica Traino
Pear,112,2.01,John Smith,Sharon Kimmel
Apple,94,1.61,John Smith,Edith Link
Orange,115,2.53,John Smith,Melissa Harris
Banana,111,,John Smith,Timothy Biron
Grape,,1.77,John Smith,Dale Hamiel
Pear,129,,John Smith,Evelyn Powell
Apple,146,2.4,John Smith,Gary Slaughter
Orange,87,2.99,John Smith,Norman Gonzalez
Banana,,1.19,John Smith,Stephanie Mcfadden
Grape,94,,John Smith,Jessica Sexton
Pear,106,1.11,John Smith,Sarah Wilkinson
Apple,,1.41,John Smith,Robin Wisbey
Orange,123,1.55,John Smith,Juan Hocutt
Banana,126,1.64,John Smith,James Clevenger
Grape,121,2.21,John Smith,Julia Arias
Pear,59,2.49,John Smith,Armando Kelley
Apple,101,2.6,John Smith,Ronald Maffit
Orange,75,2.12,John Smith,Jonah Pamplin
Banana,50,2.57,John Smith,Trina Bacon
Grape,128,2.96,John Smith,Margaret Monroe
Pear,85,2.06,John Smith,Laura Davis
Apple,78,2.33,John Smith,Carol Heckman
Orange,,,John Smith,Joan Boden
Banana,136,2.76,John Smith,Joseph Gomes
Grape,51,1.2,John Smith,Paul Bordelon
Pear,52,2.51,John Smith,Becky Henry
Apple,108,2.82,John Smith,Dalton Utter
Orange,95,1.45,John Smith,Eleanor Johnson
Banana,70,1.76,John Smith,Kirk Kemmerer
Grape,142,1.28,John Smith,Janet Larson
Pear,62,1.11,John Smith,Darla Nash
Apple,67,2.12,John Smith,Aline Cavanaugh
Orange,145,1.41,John Smith,Glenda Harley
Banana,57,1.79,John Smith,Jessica Howard
Grape,140,,John Smith,Robt Phillips
Pear,64,2.88,John Smith,Troy Dolney
Apple,144,1.25,John Smith,Lucille Pomerleau
Orange,52,2.89,John Smith,Ramona Frautschi
Banana,59,2.03,John Smith,Nelson Crossno
Grape,120,1.62,John Smith,Emily Jones
Pear,,1.06,John Smith,Martin Vogel
Apple,,2.03,John Smith,Mark Ketner
Orange,110,1.01,John Smith,Andrew Race
Banana,119,2.78,John Smith,Richard Hill
Grape,121,2.51,John Smith,Abigail Herman
Pear,84,2.11,John Smith,Kelly Fitts
Apple,,1.33,John Smith,Annmarie Newton
Orange,140,,John Smith,Esmeralda Ferrell
Banana,128,2.87,John Smith,James Hames
Grape,97,1.75,John Smith,Carla Korpal
Pear,95,1.05,John Smith,Joseph Cheung
Apple,103,1.86,John Smith,Lauren Sasser
Orange,123,2.95,John Smith,Mattie Fabian
Banana,146,2.08,John Smith,Natalie Lenard
Grape,,1.44,John Smith,Debbie Cunningham
Pear,,1.34,John Smith,Bradley Rennie
Apple,104,2.01,John Smith,Beulah Barker
Orange,52,2.76,John Smith,Glenda Poppel
Banana,,1.95,John Smith,Gail Brousseau
Grape,86,2.85,John Smith,Johnny Wright
Pear,103,1.97,John Smith,Hulda Johnson
Apple,,1.04,John Smith,Jane Wood
Orange,113,,John Smith,Debora Kurtz
Banana,80,1.47,John Smith,Maryann Harrell
Grape,101,2.77,John Smith,Octavio West
Pear,69,,John Smith,Stephanie Henning
Apple,62,2.89,John Smith,Jasper Murray
Orange,,2.01,John Smith,Arnita Lewis
Banana,,1.17,John Smith,Fredrick Ruffin
Grape,111,1.73,John Smith,Larry Brackley
Pear,53,2.46,John Smith,Steven Christenson
Apple,63,2.51,John Smith,Jimmy Bell
Orange,96,1.87,John Smith,Laurel Fleming
Banana,82,1.98,John Smith,Helen Garcia
Grape,,1.48,John Smith,Virginia Kim
Pear,65,2.88,John Smith,Betty Burbank
Apple,145,2.91,John Smith,Sally Williams
Orange,,2.32,John Smith,Arthur Arthur
Banana,,1.06,John Smith,Mattie Lang
Grape,114,1.16,John Smith,Camille Zecca
Pear,98,1.58,John Smith,Christopher Steele
Apple,58,1.19,John Smith,Dorothy Vang
Orange,147,1.46,John Smith,Manuel Meeks
Banana,138,1.63,John Smith,Juan Farley
Grape,53,2.17,John Smith,Jesse Sheppard
Pear,146,2.25,John Smith,Tresa Schuelke
Apple,65,2.22,John Smith,Donna Yarber
Orange,108,2.71,John Smith,Rufus Rosado
Banana,,,John Smith,Cecil Baines
Grape,,2.73,John Smith,Paul Carroll
Pear,124,2,John Smith,John Kennedy
Apple,107,1.87,John Smith,Thomas Carlson
Orange,148,,John Smith,Felipe Moody
Banana,54,,John Smith,Michele Daughters
Grape,123,2.24,John Smith,Lacie Cervantes
Pear,94,2.64,John Smith,Michael Stiggers
Apple,,2.9,John Smith,Jennifer Cleveland
Orange,110,1.64,John Smith,Leon Fawver
Banana,60,2.42,John Smith,Blanca Gonzalez
Grape,,2.21,John Smith,Paul Niles
Pear,123,1.81,John Smith,Patrick Darrow
Apple,105,1,John Smith,Mary Jackson
Orange,82,1.04,John Smith,Jose Stinson
Banana,91,,John Smith,Mary Pitpitan
Grape,52,2.07,John Smith,Andrew Moore
Pear,111,1.99,John Smith,Randy Brown
Apple,,2.26,John Smith,Mark Bradfield
Orange,102,3,John Smith,Beata Perez
Banana,,2.2,John Smith,Patrick Wozny
Grape,70,1.33,John Smith,Theodore Powell
Pear,99,1.77,John Smith,Amy Browen
Apple,107,1.52,John Smith,Greg Dixon
Orange,,1.63,John Smith,Myron Adams
Banana,133,2.67,John Smith,Gary Erickson
Grape,,2.67,John Smith,Ivan Iman
Pear,132,1.54,John Smith,Sandra Grote
Apple,127,1,John Smith,Michael Pineda
Orange,101,2.73,John Smith,Kathleen Wilson
Banana,136,2.39,John Smith,James Hayes
Grape,,2.84,John Smith,Jose Jenkins
Pear,,2.15,John Smith,Richard Garcia
Apple,131,1.14,John Smith,Kristin Kittredge
Orange,127,2.23,John Smith,Julie Collins
Banana,70,1.71,John Smith,Leo Cohen
Grape,,2.86,John Smith,Sue Stokes
Pear,62,1.02,John Smith,Ronnie Evans
Apple,56,2.62,John Smith,Bradley Villalta
Orange,139,1.58,John Smith,Christa Gosa
Banana,136,2.95,John Smith,Larry Stender
Grape,,1.75,John Smith,Amy Donovan
Pear,52,1.23,John Smith,Joshua Chiang
Apple,78,1.16,John Smith,Carolyn Lewis
Orange,64,1.26,John Smith,Fredrick Velasquez
Banana,138,1.8,John Smith,Mauricio Guyton
Grape,91,1.3,John Smith,Patrick Arnold
Pear,139,2.82,John Smith,Raymond Hampton
Apple,89,2.82,John Smith,Dale Lopez
Orange,,2.47,John Smith,David Tintinger
Banana,,1.44,John Smith,Tammy Rice
Grape,147,2.96,John Smith,Kirk Hodges
Pear,127,2.66,John Smith,Lucy Trujillo
Apple,86,,John Smith,Loree Marlow
Orange,,2.27,John Smith,Jeremy Chadwell
Banana,53,2.84,John Smith,Robert Little
Grape,142,2.69,John Smith,Randall Lupo
Pear,70,2.63,John Smith,Steve Ballard
Apple,,1.47,John Smith,Kevin Rodriguez
Orange,99,2.78,John Smith,Ethel Hawkins
Banana,,1.14,John Smith,Kathy Wright
Grape,,1.02,John Smith,Donna Coyle
Pear,,,John Smith,Suzanne Henry
Apple,64,1.15,John Smith,Jaime Huntley
Orange,,1.93,John Smith,Maria Feaster
Banana,57,,John Smith,Jay Velazquez
Grape,140,2.02,John Smith,Maria Earnest
Pear,,1.67,John Smith,Sarah Mcminn
Apple,96,2.51,John Smith,Richard Sylvestre
Orange,147,1.62,John Smith,Stanley Stanley
Banana,112,2.74,John Smith,Kathy Atkinson
Grape,128,,John Smith,Cynthia Ford
Pear,99,2.26,John Smith,Angelique Nicholas
Apple,119,1.19,John Smith,Paul Turrentine
Orange,71,1.81,John Smith,Margaret Hill
Banana,123,1.1,John Smith,Ivan Smith
Grape,72,2.37,John Smith,Ryan Kolmer
Pear,,,John Smith,John Dudenhoeffer
Apple,140,1.56,John Smith,Linda Tomilson
Orange,101,2.95,John Smith,Patricia Rasmussen
Banana,147,1.8,John Smith,Ernest Johnson
Grape,103,1.52,John Smith,Vickie Craze
Pear,79,,John Smith,Carol Johnston
Apple,75,1.21,John Smith,Claude Espinosa
Orange,80,2.63,John Smith,Nina Larson
Banana,91,1.5,John Smith,Thomas Haven
Grape,,1.22,John Smith,Tyler Lederman
Pear,,,John Smith,Ashlee Selman
Apple,118,2.6,John Smith,Victoria Knauf
Orange,,2.74,John Smith,Jackie Webb
Banana,102,1.89,John Smith,John Phillips
Grape,145,2.3,John Smith,Ellen Vidal
Pear,,,John Smith,Elena Woods
Apple,61,2.77,John Smith,Brenda Beck
Orange,52,2.41,John Smith,Kevin Newsome
Banana,131,2.94,John Smith,Justin Mcclurg
Grape,145,2.59,John Smith,Michael Vent
Pear,137,1.18,John Smith,Bill Goodwin
Apple,129,,John Smith,Joan Gebo
Orange,54,1.74,John Smith,Nakita Lloyd
Banana,,2.11,John Smith,Howard Samayoa
Grape,91,1.08,John Smith,Larue Bertalan
Pear,,,John Smith,Kelli Trease
Apple,,2.85,John Smith,Eliza Colbert
Orange,90,1.98,John Smith,Dorothy Graddy
Banana,137,2.51,John Smith,Destiny Perlman
Grape,108,1.4,John Smith,Phillip Mejia
Pear,104,1.92,John Smith,Sara Whitting
Apple,99,,John Smith,Jose Adair
Orange,104,1.06,John Smith,Louise Meyers
Banana,,1.76,John Smith,Jessica Borror
Grape,120,1.08,John Smith,Felix Richardson
Pear,108,2.3,John Smith,Sharon Fritcher
Apple,56,2.27,John Smith,Scott Johnston
Orange,120,,John Smith,Ronald Eckard
Banana,64,1.31,John Smith,Terry Blok
Grape,,1.94,John Smith,Edna Madlock
Pear,140,1.59,John Smith,Misty Daniels
Apple,,1.25,John Smith,Kristi Zimmerman
Orange,50,2.81,John Smith,Timothy Barber
Banana,70,,John Smith,Michele Daniels
Grape,145,1.93,John Smith,Brandi Monson
Pear,149,2.3,John Smith,Jona Ragasa
Apple,141,2.26,John Smith,Sergio Craig
Orange,120,1.66,John Smith,Gary Barbosa
Banana,76,2.99,John Smith,Gary Madeira
Grape,85,2.9,John Smith,Sonya Roy
Pear,,,John Smith,Clifford Grogan
Apple,143,2.42,John Smith,Edward Ellis
Orange,138,2.27,John Smith,Gilbert Husseini
Banana,81,1.1,John Smith,Thomas Membreno
Grape,,2.86,John Smith,Connie Coulter
Pear,134,1.81,John Smith,Sonia Johnston
Apple,,2.6,John Smith,William Doyle
Orange,,1.55,John Smith,Doreen Miller
Banana,,1.7,John Smith,Kathrine Holman
Grape,84,1.02,John Smith,Lawanda Shaffer
Pear,117,2.47,John Smith,Jeff Godfrey
Apple,,2.03,John Smith,Charles Kean
Orange,59,,John Smith,Zina Singh
Banana,64,1.63,John Smith,Linda Burks
Grape,106,2.83,John Smith,Marilyn Motyka
Pear,98,2.49,John Smith,Kara Raymond
Apple,111,,John Smith,Connie Francis
Orange,135,2.79,John Smith,Tanya Villalpando
Banana,141,1.3,John Smith,Dennis Buckman
Grape,74,1.66,John Smith,Robert Chao
Pear,57,2.69,John Smith,Ruben Sardin
Apple,137,,John Smith,Chase Walker
Orange,116,2.02,John Smith,Merle Lake
Banana,,1.69,John Smith,Michael Liebert
Grape,129,2.01,John Smith,Stephen Craig
Pear,103,1.08,John Smith,Theodore Russell
Apple,102,2.18,John Smith,Matthew Matthews
Orange,101,2.56,John Smith,Lilly Kaczorowski
Banana,,2.56,John Smith,Thomas Anderson
Grape,98,1.28,John Smith,Lynn Maulden
Pear,91,2.74,John Smith,Tanya Cam
Apple,54,,John Smith,Jeff Day
Orange,100,2.53,John Smith,Jeannie Scarlett
Banana,103,2.1,John Smith,Anthony Wene
Grape,55,1.77,John Smith,Daniel Boyd
Pear,147,2.46,John Smith,Robert Hill
Apple,,2.79,John Smith,Clarence Gill
Orange,70,,John Smith,Thomas Rowe
Banana,131,2.59,John Smith,Susan Beasley
Grape,104,1.52,John Smith,Ashley Ivey
Pear,,1.07,John Smith,Demetria Murphy
Apple,130,2.98,John Smith,Amy Laseter
Orange,142,2.82,John Smith,Heidi Pope
Banana,,2.86,John Smith,Erich Cauthon
